                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55141,                 0.6222,                0.86694,                0.99045,                0.98493,                0.99419,                0.95258,                0.30948,                0.30213,                0.76952,              0.0033309,              0.0033309,              0.0033309
                      2,                0.22537,                0.22113,                0.75883,                0.99264,                0.98581,                0.99409,                 0.9562,                  0.294,                0.37711,                0.77862,              0.0065982,              0.0065982,              0.0065982
                      3,                 0.1735,                0.18711,                0.74726,                0.99193,                0.99039,                0.99407,                 0.9373,                0.32594,                0.39314,                0.79298,              0.0097996,              0.0097996,              0.0097996
                      4,                 0.1301,                0.14722,                 0.7308,                  0.994,                0.98803,                0.99446,                0.93215,                0.35106,                0.39258,                0.80543,               0.009703,               0.009703,               0.009703
                      5,                0.10211,                0.11901,                0.72541,                0.98903,                0.98535,                0.99391,                0.91774,                0.37391,                0.47323,                 0.8351,               0.009703,               0.009703,               0.009703
                      6,                 0.0899,                0.10474,                0.72281,                0.98715,                0.98778,                0.99408,                0.89931,                 0.4102,                0.40328,                0.85637,               0.009604,               0.009604,               0.009604
                      7,                0.08338,                0.09597,                0.72129,                0.98232,                0.97512,                0.99252,                0.90563,                0.38218,                0.44236,                0.83933,               0.009505,               0.009505,               0.009505
                      8,                0.07947,                0.09025,                 0.7205,                0.99232,                0.98994,                0.99367,                0.91913,                0.37304,                0.41155,                0.83845,               0.009406,               0.009406,               0.009406
                      9,                0.07652,                0.08682,                0.72003,                 0.9816,                0.98939,                0.99357,                0.90092,                0.41427,                 0.3891,                0.87035,               0.009307,               0.009307,               0.009307
                     10,                0.07456,                0.08327,                0.71943,                0.98942,                0.98924,                0.99406,                0.90837,                0.40557,                0.40562,                0.85956,               0.009208,               0.009208,               0.009208
                     11,                 0.0729,                0.08096,                0.71882,                0.99628,                0.99122,                0.99457,                 0.9192,                0.37925,                0.35494,                0.83283,               0.009109,               0.009109,               0.009109
                     12,                0.07143,                0.07853,                0.71818,                0.99156,                 0.9938,                0.99441,                0.91648,                0.39514,                0.29175,                0.85597,                0.00901,                0.00901,                0.00901
                     13,                0.07016,                0.07682,                0.71705,                 0.9949,                0.99468,                0.99465,                0.91645,                0.39137,                0.30525,                0.85011,               0.008911,               0.008911,               0.008911
                     14,                0.06921,                0.07539,                0.71672,                0.99468,                0.99251,                0.99467,                0.92018,                0.37632,                0.36853,                0.83978,               0.008812,               0.008812,               0.008812
                     15,                0.06857,                0.07385,                0.71594,                0.98292,                0.99075,                 0.9938,                0.91598,                0.38263,                 0.3657,                0.84432,               0.008713,               0.008713,               0.008713
                     16,                0.06788,                0.07352,                0.71551,                 0.9932,                0.99277,                 0.9945,                0.91647,                0.37789,                0.31661,                0.84029,               0.008614,               0.008614,               0.008614
                     17,                0.06759,                0.07376,                0.71544,                0.98242,                0.98827,                0.99354,                0.91995,                0.37645,                0.30236,                0.84473,               0.008515,               0.008515,               0.008515
                     18,                0.06689,                0.07168,                0.71508,                0.98978,                0.98544,                0.99407,                0.90853,                0.41967,                0.50314,                0.87108,               0.008416,               0.008416,               0.008416
                     19,                0.06641,                 0.0714,                0.71488,                0.98462,                0.98917,                0.99386,                0.90341,                0.42047,                0.30431,                0.88805,               0.008317,               0.008317,               0.008317
                     20,                0.06584,                0.06985,                0.71471,                0.98474,                0.98983,                0.99403,                0.91308,                0.40583,                 0.3012,                0.86604,               0.008218,               0.008218,               0.008218
                     21,                0.06529,                0.06916,                0.71531,                 0.9909,                0.99214,                0.99439,                0.90049,                0.42464,                0.33395,                0.88168,               0.008119,               0.008119,               0.008119
                     22,                0.06516,                 0.0682,                0.71489,                0.99302,                0.99443,                0.99462,                0.90826,                 0.3993,                0.39444,                0.85943,                0.00802,                0.00802,                0.00802
                     23,                0.06491,                0.06758,                 0.7145,                0.99559,                0.99519,                0.99459,                0.92637,                0.35247,                0.38732,                  0.822,               0.007921,               0.007921,               0.007921
                     24,                0.06435,                0.06734,                 0.7145,                0.99437,                0.99473,                0.99461,                0.92042,                0.37949,                0.31989,                0.83637,               0.007822,               0.007822,               0.007822
                     25,                0.06426,                0.06776,                0.71447,                0.99326,                0.99337,                 0.9945,                  0.918,                0.39002,                 0.3818,                0.85057,               0.007723,               0.007723,               0.007723
                     26,                0.06395,                0.06757,                0.71439,                 0.9918,                0.99192,                0.99452,                0.91787,                0.37864,                0.31241,                0.83789,               0.007624,               0.007624,               0.007624
                     27,                 0.0638,                0.06588,                0.71432,                0.99229,                0.99282,                0.99443,                0.91983,                 0.3815,                0.28991,                0.85181,               0.007525,               0.007525,               0.007525
                     28,                0.06336,                 0.0656,                 0.7145,                0.99374,                0.99323,                0.99446,                0.91832,                0.37839,                  0.289,                0.84834,               0.007426,               0.007426,               0.007426
                     29,                0.06331,                0.06515,                0.71428,                0.99341,                 0.9947,                0.99452,                0.92159,                0.37499,                0.38283,                0.83944,               0.007327,               0.007327,               0.007327
                     30,                0.06306,                0.06484,                0.71434,                0.99407,                0.99348,                0.99447,                0.92052,                0.37086,                0.35657,                 0.8375,               0.007228,               0.007228,               0.007228
                     31,                0.06281,                0.06423,                0.71397,                0.99395,                0.99343,                0.99439,                0.91977,                0.37076,                0.33891,                0.83809,               0.007129,               0.007129,               0.007129
                     32,                0.06254,                0.06369,                0.71416,                 0.9943,                0.99399,                0.99442,                0.92111,                0.36745,                  0.347,                0.84027,                0.00703,                0.00703,                0.00703
                     33,                 0.0624,                  0.064,                0.71412,                0.99476,                0.99339,                0.99452,                0.92421,                 0.3576,                 0.3378,                0.83177,               0.006931,               0.006931,               0.006931
                     34,                0.06225,                0.06327,                0.71402,                 0.9962,                0.99444,                0.99463,                0.92447,                0.35822,                0.37277,                0.83139,               0.006832,               0.006832,               0.006832
                     35,                0.06217,                 0.0641,                0.71392,                 0.9975,                0.99445,                0.99463,                 0.9267,                0.35152,                0.39072,                0.82659,               0.006733,               0.006733,               0.006733
                     36,                0.06185,                0.06336,                0.71441,                0.99794,                0.99479,                0.99468,                0.92971,                0.34603,                0.40179,                 0.8253,               0.006634,               0.006634,               0.006634
                     37,                0.06184,                0.06262,                0.71367,                0.99826,                0.99459,                0.99464,                0.92947,                0.34948,                0.37761,                0.82842,               0.006535,               0.006535,               0.006535
                     38,                0.06176,                0.06268,                0.71352,                0.99809,                0.99451,                0.99459,                0.92992,                0.34966,                0.36064,                0.82769,               0.006436,               0.006436,               0.006436
                     39,                0.06156,                  0.063,                0.71375,                0.99805,                 0.9938,                0.99458,                0.92907,                0.35816,                0.39352,                0.83309,               0.006337,               0.006337,               0.006337
                     40,                0.06151,                0.06193,                0.71335,                0.99745,                  0.994,                0.99458,                 0.9301,                0.35994,                0.37981,                0.83379,               0.006238,               0.006238,               0.006238
                     41,                0.06134,                 0.0621,                0.71393,                0.99666,                0.99428,                0.99455,                0.93025,                0.36051,                0.36337,                 0.8343,               0.006139,               0.006139,               0.006139
                     42,                0.06106,                0.06177,                0.71395,                0.99642,                0.99397,                0.99451,                0.92738,                 0.3612,                0.39733,                0.83382,                0.00604,                0.00604,                0.00604
                     43,                0.06086,                0.06121,                0.71353,                 0.9962,                0.99409,                0.99452,                0.92658,                0.36208,                0.38644,                0.83452,               0.005941,               0.005941,               0.005941
                     44,                0.06082,                0.06142,                0.71381,                0.99558,                0.99428,                0.99452,                0.92603,                0.36367,                 0.3825,                0.83539,               0.005842,               0.005842,               0.005842
                     45,                0.06065,                0.06041,                0.71384,                0.99618,                0.99441,                0.99454,                0.92498,                0.36648,                 0.3804,                0.83801,               0.005743,               0.005743,               0.005743
                     46,                0.06049,                0.05983,                0.71338,                0.99627,                0.99432,                0.99453,                0.92472,                0.36814,                 0.3822,                0.83933,               0.005644,               0.005644,               0.005644
                     47,                 0.0605,                0.06108,                0.71354,                0.99701,                0.99382,                0.99453,                 0.9244,                0.36935,                0.39054,                 0.8399,               0.005545,               0.005545,               0.005545
                     48,                0.06053,                0.06085,                0.71334,                0.99726,                0.99382,                0.99452,                0.92455,                0.36904,                 0.3938,                 0.8396,               0.005446,               0.005446,               0.005446
                     49,                0.06009,                0.06026,                0.71405,                0.99734,                0.99406,                0.99453,                0.92467,                 0.3686,                0.38834,                0.83942,               0.005347,               0.005347,               0.005347
                     50,                0.06011,                0.06003,                0.71359,                0.99732,                0.99426,                0.99452,                0.92503,                0.36782,                0.37881,                0.83865,               0.005248,               0.005248,               0.005248
                     51,                0.06013,                   0.06,                0.71295,                0.99724,                0.99476,                0.99453,                0.92536,                0.36702,                0.36512,                0.83789,               0.005149,               0.005149,               0.005149
                     52,                0.05991,                0.05941,                0.71355,                0.99735,                0.99508,                0.99453,                0.92584,                0.36623,                0.35438,                0.83725,                0.00505,                0.00505,                0.00505
