                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.25036,                0.20651,                 0.7781,                0.91484,                0.98683,                0.98637,                  0.949,                0.28001,                0.70494,                0.70028,             0.00023334,             0.00023334,             0.00023334
                     37,                0.24945,                0.20285,                0.77697,                0.92248,                0.98574,                0.98929,                0.95833,                0.26104,                0.53228,                0.69759,              0.0002192,              0.0002192,              0.0002192
                     38,                0.24142,                0.20108,                0.77422,                0.92313,                0.98827,                0.96086,                0.93168,                0.26645,                0.50654,                0.69799,             0.00020506,             0.00020506,             0.00020506
                     39,                0.23704,                0.19741,                0.77559,                0.99257,                0.98937,                0.99436,                0.96288,                0.27601,                0.19485,                0.70021,             0.00019092,             0.00019092,             0.00019092
                     40,                0.23493,                0.19503,                0.77577,                0.93967,                 0.9877,                0.98729,                0.95059,                0.27347,                0.50446,                 0.7012,             0.00017679,             0.00017679,             0.00017679
                     41,                0.12298,                0.09657,                0.68052,                0.99431,                0.99163,                0.99472,                0.97092,                0.20007,                0.17453,                 0.6972,             0.00016265,             0.00016265,             0.00016265
                     42,                0.08729,                0.07199,                0.67746,                 0.9966,                0.99284,                0.99478,                0.97191,                0.20391,                0.16694,                0.69805,             0.00014851,             0.00014851,             0.00014851
                     43,                0.08243,                0.06855,                0.67711,                0.99651,                 0.9925,                0.99468,                0.97771,                0.20576,                0.18465,                0.69299,             0.00013437,             0.00013437,             0.00013437
                     44,                 0.0819,                  0.067,                0.67706,                0.99653,                0.99242,                0.99459,                0.98026,                0.20577,                0.19484,                0.69009,             0.00012024,             0.00012024,             0.00012024
                     45,                0.08187,                 0.0663,                0.67709,                0.99676,                0.99203,                0.99457,                0.98371,                0.20817,                0.19801,                0.68755,              0.0001061,              0.0001061,              0.0001061
                     46,                0.08221,                0.06626,                0.67712,                0.99584,                0.99203,                0.99456,                0.98486,                0.21092,                0.21405,                0.68677,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.08232,                0.06626,                0.67712,                0.99608,                0.99182,                0.99452,                0.98648,                0.21391,                0.21655,                0.68564,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.08244,                0.06602,                0.67714,                0.99573,                0.99225,                0.99448,                0.98717,                0.21853,                0.21548,                0.68547,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 0.0824,                0.06622,                0.67711,                0.99597,                0.99235,                0.99454,                 0.9875,                0.22106,                0.21138,                 0.6854,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.08251,                0.06595,                0.67712,                0.99605,                0.99214,                0.99443,                0.98777,                0.22429,                0.21378,                0.68549,             3.5414e-05,             3.5414e-05,             3.5414e-05
