                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73624,                  0.765,                0.96617,                0.99139,                0.97521,                0.99382,                0.93223,                0.35645,                0.71141,                0.77467,              0.0033309,              0.0033309,              0.0033309
                      2,                0.49772,                0.36757,                 0.8647,                0.99464,                0.98943,                0.99465,                 0.9489,                0.31268,                0.57262,                0.76746,              0.0065982,              0.0065982,              0.0065982
                      3,                 0.4699,                0.35119,                 0.8584,                0.99598,                0.98742,                 0.9942,                0.95558,                0.29782,                0.59503,                0.76421,              0.0097996,              0.0097996,              0.0097996
                      4,                 0.4244,                0.32251,                0.84554,                0.99619,                0.98655,                0.99439,                0.96646,                0.27018,                0.46938,                0.75689,               0.009703,               0.009703,               0.009703
                      5,                0.38312,                0.29694,                0.83437,                 0.9954,                0.99219,                0.99446,                0.97287,                0.25035,                0.43058,                0.75504,               0.009703,               0.009703,               0.009703
                      6,                0.34905,                0.27758,                0.82613,                0.99747,                0.98729,                0.99457,                0.97959,                0.22657,                0.78173,                 0.7489,               0.009604,               0.009604,               0.009604
                      7,                0.32231,                0.26531,                 0.8205,                0.99652,                0.99201,                 0.9946,                0.98164,                0.21218,                 0.2764,                0.74621,               0.009505,               0.009505,               0.009505
                      8,                 0.2952,                  0.252,                0.81484,                0.99645,                 0.9934,                0.99463,                0.98805,                0.17282,                 0.2562,                0.73998,               0.009406,               0.009406,               0.009406
                      9,                 0.2727,                 0.2431,                0.81124,                0.99441,                0.98965,                0.99446,                0.98743,                0.16379,                0.26888,                0.73802,               0.009307,               0.009307,               0.009307
                     10,                0.25844,                0.23636,                0.80848,                 0.9957,                0.99076,                0.99445,                0.99006,                0.14814,                0.31433,                0.73657,               0.009208,               0.009208,               0.009208
                     11,                0.24522,                0.22952,                0.80593,                0.99778,                0.99057,                0.99436,                0.98939,                0.13677,                0.40835,                0.73503,               0.009109,               0.009109,               0.009109
                     12,                0.23234,                0.22223,                0.80417,                0.99723,                0.99219,                0.99439,                0.99117,                0.12638,                0.34559,                0.73135,                0.00901,                0.00901,                0.00901
                     13,                    inf,                 0.2154,                0.80258,                0.99641,                 0.9945,                 0.9944,                0.99057,                0.12136,                0.15802,                0.73051,               0.008911,               0.008911,               0.008911
                     14,                0.21425,                0.21111,                0.80084,                0.99658,                0.99394,                0.99453,                0.99097,                0.11436,                0.28522,                0.72917,               0.008812,               0.008812,               0.008812
                     15,                0.20907,                 0.2067,                0.79912,                0.99685,                0.99476,                0.99457,                 0.9914,                0.11048,                0.19872,                0.72873,               0.008713,               0.008713,               0.008713
                     16,                 0.2034,                0.20472,                0.79891,                0.99763,                0.99306,                0.99447,                0.99109,                0.10819,                0.45123,                 0.7284,               0.008614,               0.008614,               0.008614
                     17,                0.19914,                0.20138,                0.79728,                0.99743,                0.99371,                0.99451,                0.99198,                0.10638,                  0.342,                0.72751,               0.008515,               0.008515,               0.008515
                     18,                 0.1959,                0.19823,                0.79673,                0.99779,                0.99473,                0.99446,                0.99197,                0.10164,                0.20445,                0.72674,               0.008416,               0.008416,               0.008416
