                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.07021,                0.07225,                0.77934,                0.98317,                0.98738,                0.99315,                0.88396,                0.51797,                0.42642,                0.93264,                0.00769,                0.00769,                0.00769
                     38,                0.06986,                0.07134,                0.77933,                0.98222,                 0.9894,                0.99321,                0.88357,                0.51659,                0.42213,                0.93135,               0.007624,               0.007624,               0.007624
                     39,                0.06961,                0.07239,                0.77922,                 0.9828,                0.98983,                0.99318,                0.88387,                0.51603,                0.42756,                0.92873,               0.007558,               0.007558,               0.007558
                     40,                0.06947,                 0.0719,                0.77921,                0.98206,                0.98981,                0.99319,                0.88373,                 0.5181,                0.42727,                0.92837,               0.007492,               0.007492,               0.007492
                     41,                0.06915,                0.07129,                0.77919,                 0.9813,                0.98952,                0.99309,                0.88257,                0.52051,                0.43074,                0.92967,               0.007426,               0.007426,               0.007426
                     42,                0.06908,                0.07112,                0.77915,                0.98104,                0.99012,                0.99312,                0.88287,                 0.5208,                  0.433,                0.93004,                0.00736,                0.00736,                0.00736
                     43,                0.06878,                0.07095,                0.77914,                0.98076,                0.99023,                 0.9933,                0.88253,                0.52323,                0.43509,                0.93165,               0.007294,               0.007294,               0.007294
                     44,                0.06867,                0.07064,                 0.7791,                0.98125,                 0.9908,                0.99342,                 0.8829,                0.52396,                0.43792,                0.93093,               0.007228,               0.007228,               0.007228
                     45,                0.06839,                0.07038,                0.77907,                0.98193,                0.99084,                0.99346,                0.88203,                0.52605,                0.43856,                0.93259,               0.007162,               0.007162,               0.007162
                     46,                0.06813,                0.07051,                0.77902,                0.98241,                0.99038,                0.99338,                0.88144,                0.52797,                0.44133,                0.93405,               0.007096,               0.007096,               0.007096
                     47,                0.06835,                0.07033,                0.77904,                0.98356,                0.99096,                 0.9936,                0.88105,                0.52833,                0.43678,                0.93693,                0.00703,                0.00703,                0.00703
                     48,                0.06793,                0.06964,                0.77899,                0.98521,                 0.9913,                0.99371,                 0.8811,                0.52742,                0.42959,                0.93865,               0.006964,               0.006964,               0.006964
                     49,                 0.0678,                0.06927,                0.77897,                0.98621,                0.99144,                0.99378,                0.88123,                0.52832,                0.42744,                0.93963,               0.006898,               0.006898,               0.006898
                     50,                0.06755,                0.06871,                0.77894,                0.98658,                0.99159,                0.99377,                  0.881,                0.52925,                0.42547,                0.94047,               0.006832,               0.006832,               0.006832
                     51,                0.06743,                0.06828,                0.77895,                0.98681,                0.99153,                0.99375,                0.88102,                 0.5298,                0.42532,                0.94111,               0.006766,               0.006766,               0.006766
