                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5154,                0.61719,                0.83283,                0.98807,                0.98804,                0.99387,                0.96009,                0.29992,                0.25146,                0.76509,              0.0033309,              0.0033309,              0.0033309
                      2,                0.21642,                0.22203,                0.75777,                0.99268,                0.99201,                0.99412,                0.92412,                0.40864,                0.26499,                 0.8112,              0.0065982,              0.0065982,              0.0065982
                      3,                0.18692,                0.19703,                0.75278,                0.98866,                0.98785,                 0.9941,                 0.9095,                0.45177,                0.30462,                0.82277,              0.0097996,              0.0097996,              0.0097996
                      4,                0.15082,                0.16684,                0.74533,                0.99012,                0.98383,                0.99346,                0.90404,                0.47792,                 0.3316,                0.83604,               0.009703,               0.009703,               0.009703
                      5,                0.12378,                0.13765,                0.74076,                0.99426,                0.97491,                0.99241,                0.90614,                0.48436,                0.35409,                0.84728,               0.009703,               0.009703,               0.009703
                      6,                0.10995,                0.12213,                0.73875,                0.99498,                0.98655,                0.99409,                0.89183,                0.51047,                 0.3635,                0.85614,               0.009604,               0.009604,               0.009604
                      7,                0.10084,                0.11183,                0.73741,                0.99241,                0.98765,                 0.9937,                0.90723,                0.47123,                0.34514,                0.83769,               0.009505,               0.009505,               0.009505
                      8,                0.09519,                0.10445,                0.73647,                0.99342,                0.99278,                0.99444,                0.90693,                0.49388,                0.36343,                0.84943,               0.009406,               0.009406,               0.009406
                      9,                0.09074,                0.09821,                0.73594,                0.98423,                0.99125,                0.99415,                0.90457,                0.48253,                0.35293,                0.84568,               0.009307,               0.009307,               0.009307
                     10,                0.08769,                0.09481,                0.73544,                0.99504,                0.97638,                0.99285,                0.89417,                0.51286,                0.41119,                0.85925,               0.009208,               0.009208,               0.009208
                     11,                0.08511,                0.09082,                0.73502,                0.98999,                0.98889,                0.99412,                0.90172,                0.48922,                0.36869,                0.84991,               0.009109,               0.009109,               0.009109
                     12,                0.08269,                0.08814,                0.73464,                0.98389,                0.99051,                0.99332,                0.89106,                0.53764,                0.39755,                0.87608,                0.00901,                0.00901,                0.00901
                     13,                0.08124,                0.08574,                0.73442,                0.97973,                0.98611,                0.99216,                0.89549,                0.50126,                0.47953,                0.85432,               0.008911,               0.008911,               0.008911
                     14,                0.07978,                0.08352,                0.73423,                0.98228,                0.98587,                0.99153,                0.89218,                0.51792,                0.44958,                 0.8635,               0.008812,               0.008812,               0.008812
                     15,                0.07865,                 0.0827,                0.73412,                0.99146,                0.98926,                0.99311,                0.88942,                0.52453,                0.38761,                0.86533,               0.008713,               0.008713,               0.008713
                     16,                0.07742,                 0.0807,                0.73379,                0.95648,                0.98391,                0.99263,                0.89655,                0.49724,                 0.4553,                0.85184,               0.008614,               0.008614,               0.008614
                     17,                0.07675,                0.07902,                 0.7337,                0.96871,                0.98569,                 0.9924,                0.90043,                0.49377,                0.45647,                0.84696,               0.008515,               0.008515,               0.008515
                     18,                0.07543,                0.07727,                0.73353,                0.99098,                0.98698,                0.99299,                 0.8963,                0.50377,                0.43565,                0.85402,               0.008416,               0.008416,               0.008416
                     19,                0.07465,                0.07705,                0.73345,                0.99364,                0.99094,                0.99379,                0.88828,                0.52773,                0.40692,                0.86851,               0.008317,               0.008317,               0.008317
                     20,                0.07392,                0.07549,                0.73339,                0.99302,                0.99386,                0.99382,                0.89511,                0.50914,                0.39077,                0.85816,               0.008218,               0.008218,               0.008218
                     21,                0.07299,                0.07421,                0.73327,                0.99292,                0.99143,                0.99431,                0.89583,                0.50685,                0.43387,                0.85405,               0.008119,               0.008119,               0.008119
                     22,                0.07249,                0.07367,                0.73319,                0.98768,                0.99038,                0.99314,                0.88741,                0.52825,                0.42334,                 0.8709,                0.00802,                0.00802,                0.00802
                     23,                0.07191,                0.07224,                0.73311,                0.98985,                0.99172,                0.99382,                0.89015,                0.52217,                0.42627,                0.86668,               0.007921,               0.007921,               0.007921
                     24,                0.07124,                0.07203,                0.73302,                0.99305,                0.99156,                0.99383,                 0.8832,                0.53976,                0.42419,                0.87284,               0.007822,               0.007822,               0.007822
                     25,                0.07091,                0.07103,                0.73293,                0.99078,                0.99037,                0.99355,                0.89375,                0.50455,                0.39287,                0.85811,               0.007723,               0.007723,               0.007723
                     26,                0.07028,                0.07092,                0.73286,                0.99004,                0.98741,                0.99256,                0.88208,                 0.5415,                0.42476,                0.87544,               0.007624,               0.007624,               0.007624
                     27,                0.07004,                0.06986,                0.73278,                0.99447,                0.99101,                0.99366,                0.89289,                0.49756,                0.37759,                0.85583,               0.007525,               0.007525,               0.007525
                     28,                0.06941,                0.06941,                0.73272,                0.99322,                0.99115,                0.99357,                0.89442,                0.50015,                0.37327,                0.85471,               0.007426,               0.007426,               0.007426
                     29,                0.06908,                0.06836,                0.73268,                0.99056,                0.99117,                0.99343,                0.89404,                0.50648,                0.38473,                0.85854,               0.007327,               0.007327,               0.007327
                     30,                 0.0687,                0.06804,                0.73264,                0.99286,                0.98953,                  0.993,                 0.9023,                0.48271,                0.40313,                0.84725,               0.007228,               0.007228,               0.007228
                     31,                0.06827,                0.06767,                 0.7326,                0.99347,                0.98657,                0.99276,                0.89806,                0.48736,                0.40633,                 0.8496,               0.007129,               0.007129,               0.007129
                     32,                0.06797,                  0.067,                0.73254,                0.99113,                0.99067,                0.99319,                0.89667,                0.49278,                0.39235,                0.85182,                0.00703,                0.00703,                0.00703
                     33,                0.06761,                0.06628,                0.73247,                0.99258,                0.98802,                  0.993,                0.89574,                0.49792,                0.41293,                0.85411,               0.006931,               0.006931,               0.006931
                     34,                0.06729,                0.06612,                 0.7324,                0.99366,                0.98878,                0.99317,                0.89755,                0.49399,                0.42682,                0.85172,               0.006832,               0.006832,               0.006832
                     35,                0.06695,                0.06568,                 0.7324,                0.99308,                 0.9907,                 0.9935,                0.89598,                0.49792,                 0.4286,                0.85437,               0.006733,               0.006733,               0.006733
                     36,                0.06659,                0.06461,                 0.7324,                0.99239,                0.99071,                0.99343,                0.89412,                0.50416,                0.44539,                 0.8562,               0.006634,               0.006634,               0.006634
                     37,                0.06647,                0.06487,                0.73228,                0.98521,                 0.9903,                0.99326,                0.89495,                0.49994,                0.45866,                0.85278,               0.006535,               0.006535,               0.006535
                     38,                0.06607,                0.06423,                0.73227,                0.96583,                0.99012,                0.99317,                0.89355,                0.50606,                0.46736,                 0.8548,               0.006436,               0.006436,               0.006436
                     39,                0.06575,                0.06414,                0.73223,                0.98894,                0.98964,                0.99319,                0.89092,                 0.5159,                0.46029,                0.85842,               0.006337,               0.006337,               0.006337
                     40,                0.06571,                0.06352,                0.73219,                0.98664,                0.98952,                0.99307,                 0.8886,                0.52142,                0.46974,                 0.8607,               0.006238,               0.006238,               0.006238
                     41,                0.06557,                0.06317,                0.73228,                0.99209,                0.99115,                0.99321,                0.89335,                0.50401,                0.44691,                0.85308,               0.006139,               0.006139,               0.006139
                     42,                0.06521,                0.06321,                0.73215,                0.99598,                0.99275,                0.99388,                0.89799,                0.48788,                0.42232,                0.84618,                0.00604,                0.00604,                0.00604
                     43,                0.06501,                0.06269,                0.73208,                0.99592,                0.99363,                 0.9939,                0.89985,                0.48077,                0.40237,                0.84277,               0.005941,               0.005941,               0.005941
                     44,                0.06477,                 0.0619,                 0.7321,                0.99606,                0.99361,                0.99383,                0.90131,                0.47385,                0.39461,                0.83939,               0.005842,               0.005842,               0.005842
                     45,                0.06441,                0.06153,                0.73202,                0.99603,                0.99396,                0.99397,                0.90185,                0.46944,                  0.388,                 0.8367,               0.005743,               0.005743,               0.005743
                     46,                0.06416,                0.06134,                0.73195,                0.99641,                0.99391,                0.99389,                0.90264,                  0.465,                0.38343,                0.83369,               0.005644,               0.005644,               0.005644
                     47,                0.06393,                0.06061,                0.73197,                0.99633,                0.99376,                0.99385,                0.90283,                0.46297,                0.37972,                0.83217,               0.005545,               0.005545,               0.005545
                     48,                0.06383,                0.06052,                0.73194,                0.99649,                0.99362,                0.99382,                0.90261,                0.46283,                0.37763,                 0.8317,               0.005446,               0.005446,               0.005446
                     49,                0.06363,                0.06043,                0.73189,                0.99658,                 0.9935,                0.99375,                0.90299,                0.46181,                0.37778,                0.83102,               0.005347,               0.005347,               0.005347
                     50,                0.06329,                0.05994,                0.73188,                0.99634,                0.99337,                0.99372,                0.90295,                0.46229,                0.37769,                0.83098,               0.005248,               0.005248,               0.005248
                     51,                0.06308,                 0.0597,                0.73186,                0.99602,                0.99341,                0.99371,                0.90275,                0.46279,                0.37774,                0.83113,               0.005149,               0.005149,               0.005149
