                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.533,                 1.9293,                 1.8733,                0.83486,                0.84545,                0.90899,                 0.7651,                0.63209,                0.75208,                0.98614,             0.00023782,             0.00023782,             0.00023782
                      2,                0.72039,                0.77005,                0.99757,                0.92893,                0.92186,                0.97329,                0.85596,                0.53959,                0.50237,                0.87659,             0.00045227,             0.00045227,             0.00045227
                      3,                0.63374,                0.59806,                 0.9404,                0.95742,                0.94872,                0.98593,                0.88077,                 0.4983,                0.40698,                0.85779,             0.00064316,             0.00064316,             0.00064316
                      4,                0.57267,                0.50342,                0.91394,                0.97396,                0.96978,                0.99164,                0.90024,                0.44806,                0.33092,                0.83225,             0.00060797,             0.00060797,             0.00060797
                      5,                 0.5411,                0.45361,                 0.8991,                0.97293,                0.96903,                0.99074,                0.91138,                0.41066,                0.30886,                0.81692,             0.00060797,             0.00060797,             0.00060797
                      6,                0.51418,                 0.4197,                 0.8882,                 0.9813,                0.97731,                0.99296,                0.92986,                0.37064,                0.26533,                0.79945,             0.00057263,             0.00057263,             0.00057263
                      7,                0.48077,                0.38982,                0.87591,                0.98179,                0.97757,                0.99299,                0.92762,                0.37572,                 0.2575,                  0.799,             0.00053728,             0.00053728,             0.00053728
                      8,                0.47191,                0.37316,                0.87017,                0.98537,                0.98184,                0.99381,                0.93393,                0.35828,                0.24084,                0.79276,             0.00050194,             0.00050194,             0.00050194
                      9,                0.45972,                0.35951,                 0.8644,                0.98905,                 0.9868,                0.99424,                0.94179,                0.34237,                0.22032,                0.78733,              0.0004666,              0.0004666,              0.0004666
                     10,                0.44485,                0.34702,                0.85988,                 0.9867,                0.98425,                0.99387,                0.93422,                0.35917,                0.22707,                0.78992,             0.00043126,             0.00043126,             0.00043126
                     11,                0.41452,                0.32036,                0.85389,                0.99144,                0.98865,                0.99437,                0.95133,                0.31846,                0.20464,                0.77348,             0.00039591,             0.00039591,             0.00039591
                     12,                0.39542,                0.30116,                0.84909,                0.99106,                0.98839,                0.99439,                 0.9534,                0.31182,                 0.2009,                0.77045,             0.00036057,             0.00036057,             0.00036057
                     13,                0.38643,                0.29204,                0.84493,                0.99185,                0.99045,                0.99442,                0.95661,                0.30463,                0.19105,                0.76946,             0.00032523,             0.00032523,             0.00032523
                     14,                0.37529,                0.28153,                0.84018,                0.99263,                0.99072,                0.99447,                0.95598,                0.30689,                0.18808,                0.76781,             0.00028988,             0.00028988,             0.00028988
                     15,                0.37359,                0.27712,                0.83939,                0.99274,                0.99164,                0.99455,                0.96185,                0.29131,                0.18169,                 0.7623,             0.00025454,             0.00025454,             0.00025454
                     16,                0.36342,                0.27128,                0.83562,                0.99266,                0.99224,                0.99452,                0.95794,                0.30218,                0.18241,                0.76494,              0.0002192,              0.0002192,              0.0002192
                     17,                0.35876,                0.26638,                 0.8351,                0.99339,                0.99201,                0.99453,                0.96186,                0.29137,                 0.1766,                0.76168,             0.00018385,             0.00018385,             0.00018385
                     18,                0.35056,                0.25984,                0.83189,                0.99358,                 0.9924,                 0.9946,                0.96294,                0.28936,                0.17369,                0.76092,             0.00014851,             0.00014851,             0.00014851
                     19,                0.34581,                0.25418,                0.82882,                0.99404,                0.99259,                0.99463,                0.96302,                0.28925,                0.17258,                0.76044,             0.00011317,             0.00011317,             0.00011317
                     20,                0.34041,                0.24912,                 0.8275,                0.99386,                0.99276,                0.99461,                0.96215,                0.29106,                0.17162,                0.76075,             7.7826e-05,             7.7826e-05,             7.7826e-05
