                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.29107,                0.34278,                0.81701,                0.89851,                0.62929,                0.79155,                0.66705,                0.69011,                 1.3276,                0.99014,               0.070044,              0.0033284,              0.0033284
                      2,                0.09724,                 0.1386,                0.77845,                0.94468,                0.67769,                0.82697,                0.59599,                 1.4301,                 1.1386,                 1.3124,                   0.04,              0.0066178,              0.0066178
                      3,                0.10728,                0.14492,                0.78155,                0.94468,                0.67769,                0.82697,                0.59599,                    nan,                    nan,                    nan,              0.0099123,              0.0098631,              0.0098631
                      4,                0.09259,                0.13074,                0.77156,                0.97481,                0.96847,                0.98242,                0.81539,                0.74095,                0.50115,                0.96473,               0.009802,               0.009802,               0.009802
                      5,                0.09022,                0.12688,                0.77145,                0.98262,                0.94285,                 0.9702,                0.74899,                0.93872,                0.56597,                 1.0521,               0.009802,               0.009802,               0.009802
                      6,                0.07935,                0.11445,                0.77008,                0.96852,                0.96965,                0.98407,                0.80891,                0.77366,                0.58667,                0.97573,               0.009736,               0.009736,               0.009736
                      7,                0.08059,                 0.1146,                0.77021,                0.96914,                0.93915,                 0.9667,                 0.7497,                0.93081,                0.60806,                 1.0605,                0.00967,                0.00967,                0.00967
                      8,                0.07712,                0.11044,                0.76978,                0.96512,                0.96135,                 0.9775,                0.68698,                 1.1561,                0.77051,                  1.186,               0.009604,               0.009604,               0.009604
                      9,                 0.0749,                0.10735,                0.76953,                0.97698,                0.97932,                 0.9877,                0.81514,                0.74596,                0.53778,                0.96537,               0.009538,               0.009538,               0.009538
                     10,                0.07791,                  0.108,                 0.7699,                0.96123,                0.97234,                  0.983,                0.77941,                0.86904,                0.60822,                 1.0371,               0.009472,               0.009472,               0.009472
                     11,                 0.0758,                0.10658,                0.76967,                0.87521,                0.49496,                0.69962,                0.44642,                 1.8556,                 1.8726,                 1.6115,               0.009406,               0.009406,               0.009406
                     12,                0.07692,                0.10834,                0.76963,                0.97316,                0.95899,                0.97813,                0.76128,                0.87119,                0.63526,                 1.0469,                0.00934,                0.00934,                0.00934
